651,Abdoun,Algeria,midfielder,16,0,6,0,0
961,Belhadj,Algeria,defender,270,1,146,8,0
425,Boudebouz,Algeria,midfielder,74,3,28,1,0
716,Bougherra,Algeria,defender,270,1,89,11,0
69,Chaouchi,Algeria,goalkeeper,90,0,17,0,2
934,Djebbour,Algeria,forward,123,3,19,1,0
895,Ghezzal,Algeria,forward,40,3,8,0,0
843,Guedioura,Algeria,midfielder,38,0,18,1,0
146,Halliche,Algeria,defender,270,2,94,4,0
50,Kadir,Algeria,midfielder,262,0,104,3,0
911,Lacen,Algeria,midfielder,270,0,158,8,0
269,M'Bolhi,Algeria,goalkeeper,180,0,30,0,12
615,Matmour,Algeria,midfielder,255,3,68,3,0
471,Mesbah,Algeria,midfielder,1,0,1,0,0
845,Saifi,Algeria,forward,15,1,3,0,0
355,Yahia,Algeria,defender,269,1,79,4,0
381,Yebda,Algeria,midfielder,269,8,138,10,0
127,Ziani,Algeria,midfielder,240,5,93,6,0
712,Aguero,Argentina,forward,106,2,57,2,0
74,Bolatti,Argentina,midfielder,98,2,97,4,0
657,Burdisso,Argentina,defender,341,1,167,1,0
853,Demichelis,Argentina,defender,450,1,218,7,0
936,Di Maria,Argentina,midfielder,356,7,148,12,0
753,Gutierrez,Argentina,midfielder,191,0,83,11,0
809,Heinze,Argentina,defender,360,3,188,6,0
371,Higuain,Argentina,forward,341,13,93,5,0
117,Mascherano,Argentina,midfielder,360,0,237,19,0
878,Maxi Rodriguez,Argentina,midfielder,346,2,218,9,0
333,Messi,Argentina,forward,450,21,321,10,0
834,Milito,Argentina,forward,91,0,33,0,0
484,Otamendi,Argentina,defender,250,0,141,6,0
609,Palermo,Argentina,forward,10,3,8,0,0
390,Pastore,Argentina,midfielder,37,2,44,3,0
859,Rodriguez,Argentina,defender,90,1,72,1,0
14,Romero,Argentina,goalkeeper,450,0,47,0,10
567,Samuel,Argentina,defender,114,2,43,1,0
344,Tevez,Argentina,forward,324,6,164,7,0
252,Veron,Argentina,midfielder,185,3,235,10,0
552,Beauchamp,Australia,defender,90,0,33,2,0
735,Bresciano,Australia,midfielder,132,3,47,1,0
690,Cahill,Australia,midfielder,146,6,39,1,0
858,Carney,Australia,defender,180,0,56,4,0
520,Chipperfield,Australia,midfielder,138,2,50,3,0
927,Culina,Australia,midfielder,270,4,153,0,0
46,Emerton,Australia,midfielder,254,1,89,3,0
442,Garcia,Australia,midfielder,72,2,24,3,0
95,Grella,Australia,midfielder,45,0,18,2,0
847,Holman,Australia,forward,138,3,49,2,0
195,Jedinak,Australia,midfielder,16,0,15,0,0
734,Kennedy,Australia,forward,112,3,29,1,0
517,Kewell,Australia,midfielder,24,0,7,1,0
388,Moore,Australia,defender,180,1,91,3,0
420,Neill,Australia,defender,270,1,135,4,0
985,Rukavytsya,Australia,forward,32,1,12,0,0
7,Schwarzer,Australia,goalkeeper,270,0,51,0,13
181,Valeri,Australia,midfielder,245,0,135,5,0
482,Wilkshire,Australia,midfielder,256,2,117,8,0
691,Baptista,Brazil,midfielder,82,0,42,1,0
282,Daniel Alves,Brazil,defender,310,11,215,6,0
885,Elano,Brazil,midfielder,140,5,57,6,0
650,Fabiano,Brazil,forward,418,9,89,4,0
382,Gilberto,Brazil,defender,33,0,6,4,0
