105,Isla,Chile,defender,332,1,123,10,0
106,Jara,Chile,defender,308,1,187,8,0
107,Medel,Chile,defender,270,1,123,7,0
108,Millar,Chile,midfielder,125,1,80,3,0
109,Orellana,Chile,forward,25,1,7,0,0
110,Paredes,Chile,forward,70,3,11,5,0
111,Ponce,Chile,defender,270,2,113,4,0
112,Suazo,Chile,forward,135,4,39,1,0
113,Sanchez,Chile,forward,335,7,113,13,0
114,Tello,Chile,midfielder,45,0,29,1,0
115,Valdivia,Chile,forward,222,3,91,3,0
116,Vidal,Chile,defender,306,6,178,17,0
117,Agger,Denmark,defender,270,2,120,10,0
118,Beckmann,Denmark,midfielder,28,0,8,0,0
119,Bendtner,Denmark,forward,242,4,70,0,0
120,Christian Poulsen,Denmark,midfielder,270,1,179,7,0
121,Enevoldsen,Denmark,midfielder,56,2,10,0,0
122,Eriksen,Denmark,midfielder,44,1,20,1,0
123,Gronkjaer,Denmark,midfielder,101,1,29,3,0
124,Jacobsen,Denmark,defender,270,0,95,3,0
125,Jakob Poulsen,Denmark,midfielder,60,2,40,0,0
126,Jensen,Denmark,midfielder,45,0,21,2,0
127,Jorgensen,Denmark,midfielder,169,1,78,8,0
128,Kahlenberg,Denmark,midfielder,159,2,59,3,0
129,Kjaer,Denmark,defender,180,1,41,3,0
130,Kroldrup,Denmark,defender,56,1,32,0,0
131,Larsen,Denmark,forward,34,2,5,0,0
132,Rommedahl,Denmark,midfielder,270,4,74,5,0
133,Simon Poulsen,Denmark,midfielder,270,1,99,9,0
134,Sorensen,Denmark,goalkeeper,270,0,52,0,16
135,Tomasson,Denmark,forward,176,7,51,1,0
136,Ashley Cole,England,defender,360,0,142,12,0
137,Barry,England,midfielder,264,2,171,8,0
138,Carragher,England,defender,135,0,74,4,0
139,Crouch,England,forward,17,1,7,0,0
140,Defoe,England,forward,173,5,17,1,0
141,Gerrard,England,midfielder,360,10,227,5,0
142,Glen Johnson,England,defender,357,3,173,17,0
143,Green,England,goalkeeper,90,0,21,0,3
144,Heskey,England,forward,176,2,53,7,0
145,James,England,goalkeeper,270,0,72,0,6
146,Joe Cole,England,midfielder,44,1,26,0,0
147,King,England,defender,45,0,17,0,0
148,Lampard,England,midfielder,360,11,232,3,0
149,Lennon,England,midfielder,153,0,43,1,0
150,Milner,England,midfielder,185,1,57,6,0
151,Rooney,England,forward,342,8,121,2,0
152,Terry,England,defender,360,2,223,3,0
153,Upson,England,defender,180,1,93,4,0
154,Wright-Phillips,England,midfielder,89,2,29,2,0
155,Abidal,France,defender,180,0,91,6,0
156,Abou Diaby,France,midfielder,270,1,111,5,0
157,Alou Diarra,France,midfielder,82,0,31,0,0
158,Anelka,France,forward,117,7,37,1,0
159,Cisse,France,forward,55,3,7,1,0
160,Clichy,France,defender,90,0,46,2,0
161,Evra,France,defender,180,0,92,4,0
162,Gallas,France,defender,270,0,96,2,0
163,Gignac,France,forward,95,3,19,1,0
164,Gourcuff,France,midfielder,100,3,40,3,0
165,Govou,France,forward,162,1,35,4,0
166,Henry,France,forward,53,1,21,2,0
167,Lloris,France,goalkeeper,270,0,43,0,12
168,Malouda,France,midfielder,150,4,76,1,0
169,Ribery,France,midfielder,270,4,104,9,0
170,Sagna,France,defender,270,0,125,4,0
171,Squillaci,France,defender,90,0,34,1,0
172,Toulalan,France,midfielder,180,1,98,9,0
173,Valbuena,France,midfielder,21,1,11,1,0
174,Badstuber,Germany,defender,167,0,84,6,0
